Index Level :;Price
Currency :;USD
;
;
Date;WORLD Standard (Large+Mid Cap) 
Nov 29, 2011;1.139,696
Nov 30, 2011;1.184,604
Dez 01, 2011;1.184,459
Dez 02, 2011;1.187,636
Dez 05, 2011;1.199,331
Dez 06, 2011;1.193,676
Dez 07, 2011;1.197,310
Dez 08, 2011;1.174,600
Dez 09, 2011;1.187,286
Dez 12, 2011;1.168,923
Dez 13, 2011;1.159,392
Dez 14, 2011;1.139,045
Dez 15, 2011;1.142,851
Dez 16, 2011;1.146,476
Dez 19, 2011;1.135,299
Dez 20, 2011;1.163,898
Dez 21, 2011;1.164,162
Dez 22, 2011;1.173,460
Dez 23, 2011;1.182,239
Dez 26, 2011;1.182,850
Dez 27, 2011;1.183,588
Dez 28, 2011;1.167,961
Dez 29, 2011;1.177,558
Dez 30, 2011;1.182,595
Jan 02, 2012;1.186,071
Jan 03, 2012;1.206,093
Jan 04, 2012;1.203,620
Jan 05, 2012;1.197,032
Jan 06, 2012;1.191,667
Jan 09, 2012;1.192,485
Jan 10, 2012;1.207,554
Jan 11, 2012;1.204,301
Jan 12, 2012;1.207,369
Jan 13, 2012;1.201,059
Jan 16, 2012;1.202,483
Jan 17, 2012;1.211,635
Jan 18, 2012;1.222,170
Jan 19, 2012;1.233,004
Jan 20, 2012;1.235,638
Jan 23, 2012;1.242,690
Jan 24, 2012;1.237,125
Jan 25, 2012;1.243,353
Jan 26, 2012;1.250,634
Jan 27, 2012;1.246,038
Jan 30, 2012;1.238,887
Jan 31, 2012;1.240,894
Feb 01, 2012;1.257,584
Feb 02, 2012;1.259,913
Feb 03, 2012;1.273,743
Feb 06, 2012;1.273,460
Feb 07, 2012;1.278,271
Feb 08, 2012;1.281,234
Feb 09, 2012;1.284,242
Feb 10, 2012;1.269,663
Feb 13, 2012;1.279,204
Feb 14, 2012;1.273,911
Feb 15, 2012;1.274,572
Feb 16, 2012;1.280,157
Feb 17, 2012;1.288,051
Feb 20, 2012;1.296,425
Feb 21, 2012;1.294,618
Feb 22, 2012;1.288,977
Feb 23, 2012;1.294,344
Feb 24, 2012;1.300,569
Feb 27, 2012;1.298,085
Feb 28, 2012;1.302,996
Feb 29, 2012;1.298,720
Mrz 01, 2012;1.304,481
Mrz 02, 2012;1.298,505
Mrz 05, 2012;1.292,050
Mrz 06, 2012;1.265,484
Mrz 07, 2012;1.270,771
Mrz 08, 2012;1.290,382
Mrz 09, 2012;1.291,861
Mrz 12, 2012;1.289,613
Mrz 13, 2012;1.308,592
Mrz 14, 2012;1.305,706
Mrz 15, 2012;1.314,449
Mrz 16, 2012;1.320,957
Mrz 19, 2012;1.325,651
Mrz 20, 2012;1.316,707
Mrz 21, 2012;1.312,394
Mrz 22, 2012;1.304,326
Mrz 23, 2012;1.308,247
Mrz 26, 2012;1.323,378
Mrz 27, 2012;1.322,318
Mrz 28, 2012;1.312,447
Mrz 29, 2012;1.305,421
Mrz 30, 2012;1.312,011
Apr 02, 2012;1.324,257
Apr 03, 2012;1.316,884
Apr 04, 2012;1.291,811
Apr 05, 2012;1.290,089
Apr 06, 2012;1.289,028
Apr 09, 2012;1.280,141
Apr 10, 2012;1.259,339
Apr 11, 2012;1.266,597
Apr 12, 2012;1.284,254
Apr 13, 2012;1.268,349
Apr 16, 2012;1.266,942
Apr 17, 2012;1.287,090
Apr 18, 2012;1.283,872
Apr 19, 2012;1.277,721
Apr 20, 2012;1.281,713
Apr 23, 2012;1.264,215
Apr 24, 2012;1.271,804
Apr 25, 2012;1.285,520
Apr 26, 2012;1.293,430
Apr 27, 2012;1.298,712
Apr 30, 2012;1.293,991
Mai 01, 2012;1.296,982
Mai 02, 2012;1.291,502
Mai 03, 2012;1.284,441
Mai 04, 2012;1.264,985
Mai 07, 2012;1.260,927
Mai 08, 2012;1.250,582
Mai 09, 2012;1.240,848
Mai 10, 2012;1.245,043
Mai 11, 2012;1.242,404
Mai 14, 2012;1.224,337
Mai 15, 2012;1.213,994
Mai 16, 2012;1.204,635
Mai 17, 2012;1.191,485
Mai 18, 2012;1.178,430
Mai 21, 2012;1.191,452
Mai 22, 2012;1.199,880
Mai 23, 2012;1.187,358
Mai 24, 2012;1.191,464
Mai 25, 2012;1.188,559
Mai 28, 2012;1.190,116
Mai 29, 2012;1.201,506
Mai 30, 2012;1.181,366
Mai 31, 2012;1.177,645
Jun 01, 2012;1.152,971
Jun 04, 2012;1.151,206
Jun 05, 2012;1.158,302
Jun 06, 2012;1.183,598
Jun 07, 2012;1.190,738
Jun 08, 2012;1.188,859
Jun 11, 2012;1.184,098
Jun 12, 2012;1.191,915
Jun 13, 2012;1.190,174
Jun 14, 2012;1.196,004
Jun 15, 2012;1.208,529
Jun 18, 2012;1.211,713
Jun 19, 2012;1.226,936
Jun 20, 2012;1.229,503
Jun 21, 2012;1.206,861
Jun 22, 2012;1.205,670
Jun 25, 2012;1.188,274
Jun 26, 2012;1.190,430
Jun 27, 2012;1.201,707
Jun 28, 2012;1.199,935
Jun 29, 2012;1.235,716
Jul 02, 2012;1.240,496
Jul 03, 2012;1.251,400
Jul 04, 2012;1.250,168
Jul 05, 2012;1.242,387
Jul 06, 2012;1.229,356
Jul 09, 2012;1.224,124
Jul 10, 2012;1.218,790
Jul 11, 2012;1.218,814
Jul 12, 2012;1.207,472
Jul 13, 2012;1.225,547
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
damages (including lost profits) even if notified of the possibility of such damages. MSCI, Barra, RiskMetrics, ISS, CFRA, and FEA ;
and all other service marks referred to herein are the exclusive property of MSCI and/or its subsidiaries. All MSCI indices and data;
are the exclusive property of MSCI and may not be used in any way without the express written permission of MSCI.  ;
