Index Level :;Price
Currency :;USD
;
;
Date;WORLD Standard (Large+Mid Cap) 
Mai 08, 2009;953,567
Mai 11, 2009;943,518
Mai 12, 2009;941,637
Mai 13, 2009;919,733
Mai 14, 2009;920,982
Mai 15, 2009;920,845
Mai 18, 2009;936,280
Mai 19, 2009;947,683
Mai 20, 2009;953,474
Mai 21, 2009;937,593
Mai 22, 2009;941,250
Mai 25, 2009;942,670
Mai 26, 2009;958,274
Mai 27, 2009;952,139
Mai 28, 2009;954,956
Mai 29, 2009;970,004
Jun 01, 2009;994,498
Jun 02, 2009;1.000,084
Jun 03, 2009;982,994
Jun 04, 2009;986,030
Jun 05, 2009;982,286
Jun 08, 2009;975,185
Jun 09, 2009;982,640
Jun 10, 2009;987,533
Jun 11, 2009;996,856
Jun 12, 2009;994,393
Jun 15, 2009;968,495
Jun 16, 2009;960,019
Jun 17, 2009;952,442
Jun 18, 2009;958,479
Jun 19, 2009;964,803
Jun 22, 2009;939,169
Jun 23, 2009;938,314
Jun 24, 2009;951,089
Jun 25, 2009;957,560
Jun 26, 2009;963,773
Jun 29, 2009;970,772
Jun 30, 2009;964,048
Jul 01, 2009;972,850
Jul 02, 2009;947,706
Jul 03, 2009;946,802
Jul 06, 2009;940,862
Jul 07, 2009;929,895
Jul 08, 2009;921,145
Jul 09, 2009;926,599
Jul 10, 2009;921,397
Jul 13, 2009;934,778
Jul 14, 2009;945,719
Jul 15, 2009;972,239
Jul 16, 2009;980,579
Jul 17, 2009;982,496
Jul 20, 2009;995,668
Jul 21, 2009;1.004,783
Jul 22, 2009;1.005,286
Jul 23, 2009;1.024,712
Jul 24, 2009;1.027,493
Jul 27, 2009;1.032,264
Jul 28, 2009;1.028,211
Jul 29, 2009;1.023,421
Jul 30, 2009;1.038,791
Jul 31, 2009;1.044,753
Aug 03, 2009;1.065,585
Aug 04, 2009;1.066,795
Aug 05, 2009;1.061,640
Aug 06, 2009;1.059,239
Aug 07, 2009;1.063,207
Aug 10, 2009;1.060,147
Aug 11, 2009;1.049,344
Aug 12, 2009;1.058,579
Aug 13, 2009;1.071,061
Aug 14, 2009;1.063,978
Aug 17, 2009;1.034,276
Aug 18, 2009;1.045,118
Aug 19, 2009;1.050,651
Aug 20, 2009;1.063,122
Aug 21, 2009;1.080,573
Aug 24, 2009;1.087,769
Aug 25, 2009;1.090,655
Aug 26, 2009;1.086,605
Aug 27, 2009;1.085,779
Aug 28, 2009;1.094,092
Aug 31, 2009;1.085,599
Sep 01, 2009;1.066,631
Sep 02, 2009;1.058,947
Sep 03, 2009;1.064,264
Sep 04, 2009;1.075,408
Sep 07, 2009;1.085,238
Sep 08, 2009;1.098,553
Sep 09, 2009;1.106,314
Sep 10, 2009;1.114,797
Sep 11, 2009;1.119,225
Sep 14, 2009;1.118,307
Sep 15, 2009;1.119,903
Sep 16, 2009;1.138,329
Sep 17, 2009;1.142,292
Sep 18, 2009;1.139,429
